repository,owner,repo_name,github_url,dataset_index,stars,forks,issues,pull_requests,description,website,watchers,contributors_count,releases_count,fork_ratio,issue_ratio,pr_ratio,engagement_score,created_at,pushed_at,updated_at,language,has_issues,has_projects,has_wiki,has_pages,private,fork,archived,disabled,size,open_issues_count,default_branch,license,topics,visibility,homepage,popularity_tier,activity_level,maturity_level,community_health,commit_velocity_score,release_cadence_score,maintenance_activity_score,development_consistency_score,execution_velocity_composite,team_resilience_score,community_health_score,growth_trajectory_score,network_effects_score,team_community_composite,operational_readiness_score,code_quality_score,api_stability_score,documentation_score,technical_maturity_composite,problem_ambition_score,commercial_viability_score,technology_differentiation_score,market_readiness_score,market_positioning_composite,category_potential_score,bsv_investment_score
shuttle-hq/shuttle,shuttle-hq,shuttle,https://github.com/shuttle-hq/shuttle,42,6650,277,2006,1697,Build & ship backends without writing any infrastructure files.,https://shuttle.dev,665,83,6,0.04165413533834587,0.30165413533834584,0.255187969924812,0.26647341147853154,2019-02-14T00:00:00Z,2025-08-19T14:36:24Z,2025-07-26T14:36:24Z,Java,True,True,True,True,False,False,False,False,665,601,main,BSD-3-Clause,['web'],public,https://shuttle.dev,established,moderate,growing,0.6214736842105263,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
evidentlyai/evidently,evidentlyai,evidently,https://github.com/evidentlyai/evidently,43,6600,723,1702,1254,"Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.",https://discord.gg/xZjKRaNp8b,660,216,6,0.10954545454545454,0.2578787878787879,0.19,0.21213450251482432,2020-08-21T00:00:00Z,2025-06-06T14:36:24Z,2025-07-12T14:36:24Z,Rust,True,True,True,True,False,False,False,False,660,510,main,MIT,"['ai', 'framework', 'monitoring']",public,https://discord.gg/xZjKRaNp8b,established,moderate,growing,0.6676666666666666,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
traceloop/openllmetry,traceloop,openllmetry,https://github.com/traceloop/openllmetry,44,6389,798,3308,3063,"Open-source observability for your LLM application, based on OpenTelemetry",https://www.traceloop.com/openllmetry,638,239,6,0.12490217561433714,0.517764908436375,0.4794177492565347,0.4860668101184032,2019-05-24T00:00:00Z,2025-08-01T14:36:24Z,2025-08-12T14:36:24Z,Rust,True,True,True,True,False,False,False,False,638,992,main,MIT,['monitoring'],public,https://www.traceloop.com/openllmetry,established,high,growing,0.7316637971513539,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
superagent-ai/superagent,superagent-ai,superagent,https://github.com/superagent-ai/superagent,45,6118,937,1009,631,The worlds first purpose-built firewall for AI,https://superagent.sh,611,281,6,0.15315462569467145,0.16492317750898985,0.10313828048381823,0.12246141111743677,2017-07-10T00:00:00Z,2025-06-14T14:36:24Z,2025-04-11T14:36:24Z,Python,True,True,True,True,False,False,False,False,611,302,main,MIT,['ai'],public,https://superagent.sh,established,moderate,growing,0.3756129454069958,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
authzed/spicedb,authzed,spicedb,https://github.com/authzed/spicedb,46,6017,341,2409,1962,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data",https://authzed.com/docs,601,102,6,0.056672760511883,0.40036563071297987,0.32607611766661126,0.35105104539061216,2018-07-20T00:00:00Z,2025-08-12T14:36:24Z,2025-07-03T14:36:24Z,Go,True,True,True,True,False,False,False,False,601,722,main,MIT,"['ai', 'database']",public,https://authzed.com/docs,established,moderate,growing,0.7642346684394217,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
hatchet-dev/hatchet,hatchet-dev,hatchet,https://github.com/hatchet-dev/hatchet,47,6019,262,2202,1996,🪓 Run Background Tasks at Scale,https://hatchet.run,601,78,6,0.04352882538627679,0.3658415019106164,0.331616547599269,0.3365971666714391,2019-09-28T00:00:00Z,2025-08-22T14:36:24Z,2025-06-27T14:36:24Z,Java,True,True,True,True,False,False,False,False,601,660,main,MIT,[],public,https://hatchet.run,established,moderate,growing,0.6916431300880544,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.6249999999999999,0.0,0.0,0,0.5172413793103449,0.5172413793103446,0.517241379310345
NangoHQ/nango,NangoHQ,nango,https://github.com/NangoHQ/nango,48,5848,543,4601,3794,A single API for all your integrations.,https://www.nango.dev,584,162,5,0.09285225718194254,0.7867647058823529,0.6487688098495212,0.7046679682046469,2017-11-10T00:00:00Z,2025-08-20T14:36:24Z,2025-09-03T14:36:24Z,Java,True,True,True,True,False,False,False,False,584,1380,main,MIT,['api'],public,https://www.nango.dev,established,high,growing,0.40037619699042404,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.37499999999999994,1.0,0.0,0,0.3965517241379311,0.39655172413793077,0.3965517241379309
lightdash/lightdash,lightdash,lightdash,https://github.com/lightdash/lightdash,49,5090,611,9854,8714,Self-serve BI to 10x your data team ⚡️,https://lightdash.com,509,183,5,0.1200392927308448,1.9359528487229862,1.7119842829076621,1.0,2019-08-31T00:00:00Z,2025-09-13T14:36:24Z,2025-09-13T14:36:24Z,Go,True,True,True,True,False,False,False,False,509,2956,main,MIT,[],public,https://lightdash.com,established,very_high,growing,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
ArroyoSystems/arroyo,ArroyoSystems,arroyo,https://github.com/ArroyoSystems/arroyo,50,4515,303,901,702,Distributed stream processing engine in Rust,https://arroyo.dev,451,90,4,0.06710963455149502,0.19955703211517165,0.15548172757475084,0.16583611548841748,2018-04-25T00:00:00Z,2025-06-28T14:36:24Z,2025-07-16T14:36:24Z,Rust,True,True,True,True,False,False,False,False,451,270,main,MIT,[],public,https://arroyo.dev,established,moderate,growing,0.5164562569213732,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
Helicone/helicone,Helicone,helicone,https://github.com/Helicone/helicone,51,4488,433,4201,4499,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",https://www.helicone.ai,448,129,4,0.0964795008912656,0.9360516934046346,1.0024509803921569,0.9554936217154715,2018-01-27T00:00:00Z,2025-08-25T14:36:24Z,2025-09-02T14:36:24Z,Rust,True,True,True,True,False,False,False,False,448,1260,main,BSD-3-Clause,['monitoring'],public,https://www.helicone.ai,established,high,growing,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.41379310344827597,0.41379310344827563,0.4137931034482758
rivet-gg/rivet,rivet-gg,rivet,https://github.com/rivet-gg/rivet,52,4366,113,2800,2505,Scale and orchestrate RivetKit,https://rivet.gg,436,33,4,0.02588181401740724,0.641319285387082,0.5737517178195144,0.5947255335799498,2020-08-22T00:00:00Z,2025-09-11T14:36:24Z,2025-08-24T14:36:24Z,Java,True,True,True,True,False,False,False,False,436,840,main,Apache-2.0,[],public,https://rivet.gg,established,high,growing,0.3908382959230417,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.6249999999999999,0.0,0.0,0,0.5172413793103449,0.5172413793103446,0.517241379310345
defog-ai/sqlcoder,defog-ai,sqlcoder,https://github.com/defog-ai/sqlcoder,53,3883,262,125,11,SoTA LLM for converting natural language questions to SQL queries,,388,78,3,0.06747360288436775,0.03219160442956477,0.0028328611898017,0.006248210035390931,2020-01-08T00:00:00Z,2025-07-15T14:36:24Z,2025-04-25T14:36:24Z,TypeScript,True,True,True,False,False,False,False,False,388,37,main,MIT,['database'],public,,established,low,growing,0.23100695338655672,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.41379310344827597,0.41379310344827563,0.4137931034482758
requestly/requestly,requestly,requestly,https://github.com/requestly/requestly,54,3976,335,3405,2843,Free and open-source API Client & Interceptor.,https://requestly.com,397,100,3,0.08425553319919517,0.8563883299798792,0.7150402414486922,0.7724374638237294,2017-01-05T00:00:00Z,2025-08-27T14:36:24Z,2025-08-26T14:36:24Z,Go,True,True,True,True,False,False,False,False,397,1021,main,BSD-3-Clause,"['api', 'cli']",public,https://requestly.com,established,high,growing,0.25261569416498997,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.5625,1.0,0.0,0,0.5517241379310347,0.5517241379310344,0.5517241379310344
vocodedev/vocode-core,vocodedev,vocode-core,https://github.com/vocodedev/vocode-core,55,3440,622,717,568,🤖 Build voice-based LLM agents. Modular + open source.,https://vocode.dev,344,186,3,0.1808139534883721,0.20843023255813953,0.16511627906976745,0.1750657449804549,2019-05-26T00:00:00Z,2025-04-13T14:36:24Z,2025-06-22T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,344,215,main,MIT,[],public,https://vocode.dev,established,moderate,growing,0.38941860465116285,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
fern-api/fern,fern-api,fern,https://github.com/fern-api/fern,56,3308,244,9300,8033,Input OpenAPI. Output SDKs and Docs.,https://buildwithfern.com,330,73,3,0.07376058041112454,2.81136638452237,2.4283555018137846,1.0,2018-04-28T00:00:00Z,2025-09-03T14:36:24Z,2025-09-04T14:36:24Z,Python,True,True,True,True,False,False,False,False,330,2790,main,MIT,"['api', 'framework']",public,https://buildwithfern.com,established,very_high,growing,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8958333333333335,1.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
OpenPipe/OpenPipe,OpenPipe,OpenPipe,https://github.com/OpenPipe/OpenPipe,57,2730,160,700,644,Turn expensive prompts into cheap fine-tuned models,https://openpipe.ai,273,48,2,0.05860805860805861,0.2564102564102564,0.2358974358974359,0.23429074969114044,2018-08-05T00:00:00Z,2025-04-07T14:36:24Z,2025-03-23T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,273,210,main,MIT,[],public,https://openpipe.ai,established,moderate,growing,0.6168498168498169,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
questdb/questdb,questdb,questdb,https://github.com/questdb/questdb,58,16082,1472,5925,3811,"QuestDB is a high performance, open-source, time-series database",https://questdb.com,1608,441,16,0.09153090411640344,0.36842432533267006,0.23697301330680265,0.2906874173429087,2021-02-20T00:00:00Z,2025-09-04T14:36:24Z,2025-08-24T14:36:24Z,Java,True,True,True,True,False,False,False,False,1608,1777,main,BSD-3-Clause,['database'],public,https://questdb.com,popular,high,developing,0.8063051859221491,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.41379310344827597,0.41379310344827563,0.4137931034482758
langfuse/langfuse,langfuse,langfuse,https://github.com/langfuse/langfuse,59,16053,1497,6815,5100,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",https://langfuse.com/docs,1605,449,16,0.09325359745841899,0.4245312402666168,0.31769762661184825,0.35892392238722076,2017-10-24T00:00:00Z,2025-08-27T14:36:24Z,2025-08-02T14:36:24Z,Go,True,True,True,True,False,False,False,False,1605,2044,main,Apache-2.0,"['ai', 'framework', 'monitoring']",public,https://langfuse.com/docs,popular,very_high,developing,0.9016881579767022,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,1.0,0.0,0,0.9137931034482761,0.9137931034482758,0.9137931034482758
supertokens/supertokens-core,supertokens,supertokens-core,https://github.com/supertokens/supertokens-core,60,14498,609,1111,636,Open source alternative to Auth0 / Firebase Auth / AWS Cognito ,https://supertokens.com,1449,182,14,0.04200579390260726,0.07663125948406677,0.04386811974065388,0.048873688596199824,2017-06-01T00:00:00Z,2025-07-25T14:36:24Z,2025-04-27T14:36:24Z,Rust,True,True,True,True,False,False,False,False,1449,333,main,MIT,[],public,https://supertokens.com,popular,moderate,developing,0.2311905090357291,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Eventual-Inc/Daft,Eventual-Inc,Daft,https://github.com/Eventual-Inc/Daft,61,4337,296,5003,3778,Distributed query engine providing simple and reliable data processing for any modality and scale,https://daft.ai,433,88,4,0.0682499423564676,1.153562370302052,0.8711090615632926,0.9984651135220753,2020-08-11T00:00:00Z,2025-08-29T14:36:24Z,2025-09-12T14:36:24Z,Go,True,True,True,True,False,False,False,False,433,1500,main,MIT,[],public,https://daft.ai,established,high,growing,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
bytebot-ai/bytebot,bytebot-ai,bytebot,https://github.com/bytebot-ai/bytebot,62,6728,733,111,72,"Bytebot is a self-hosted AI desktop agent that automates computer tasks through natural language commands, operating within a containerized Linux desktop environment.",https://www.bytebot.ai/,672,219,6,0.10894768133174793,0.01649821640903686,0.01070154577883472,0.0023461092400181393,2017-02-14T00:00:00Z,2024-11-29T14:36:24Z,2025-06-26T14:36:24Z,Rust,True,True,True,True,False,False,False,False,672,33,main,MIT,['ai'],public,https://www.bytebot.ai/,established,low,growing,0.2970570749108204,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
kestra-io/kestra,kestra-io,kestra,https://github.com/kestra-io/kestra,63,21129,1809,9823,6762,":zap: Universal Workflow Orchestration Platform — Code in any language, run anywhere. 900+ plugins for data, infrastructure, and AI automation.",https://kestra.io,2112,542,21,0.08561692460599177,0.46490605329168444,0.3200340763879029,0.3802235989828607,2016-09-03T00:00:00Z,2025-09-05T14:36:24Z,2025-07-04T14:36:24Z,Go,True,True,True,True,False,False,False,False,2112,2946,main,Apache-2.0,['ai'],public,https://kestra.io,popular,very_high,developing,0.90874154006342,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,1.0,0.0,0,0.9137931034482761,0.9137931034482758,0.9137931034482758
emcie-co/parlant,emcie-co,parlant,https://github.com/emcie-co/parlant,64,11778,943,504,412,LLM agents built for control. Designed for real-world use. Deployed in minutes.,https://www.parlant.io,1177,282,11,0.08006452708439464,0.04279164544065207,0.03498047206656478,0.027566033502092253,2020-02-21T00:00:00Z,2025-06-02T14:36:24Z,2025-04-12T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,1177,151,main,MIT,[],public,https://www.parlant.io,popular,low,developing,0.30940736967227034,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
documenso/documenso,documenso,documenso,https://github.com/documenso/documenso,65,11589,1960,1822,1296,The Open Source DocuSign Alternative.,https://documenso.com,1158,588,11,0.1691258952454914,0.1572180516006558,0.111830183794978,0.12295350706997134,2021-02-05T00:00:00Z,2025-05-24T14:36:24Z,2025-04-30T14:36:24Z,Go,True,True,True,True,False,False,False,False,1158,546,main,MIT,[],public,https://documenso.com,popular,moderate,developing,0.33022693933902847,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
makeplane/plane,makeplane,plane,https://github.com/makeplane/plane,66,38697,2687,7600,6270,"🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the easiest way on the planet.",http://plane.so,3869,806,38,0.06943690725379228,0.19639765356487582,0.16202806419102256,0.16752515736442555,2015-01-21T00:00:00Z,2025-07-06T14:36:24Z,2025-07-31T14:36:24Z,Go,True,True,True,True,False,False,False,False,3869,2280,main,Apache-2.0,[],public,http://plane.so,viral,very_high,mature,0.5274569088043001,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
formbricks/formbricks,formbricks,formbricks,https://github.com/formbricks/formbricks,67,11241,1990,6218,4096,Open Source Qualtrics Alternative,https://formbricks.com,1124,597,11,0.1770305132995285,0.5531536340183257,0.36438039320345167,0.4463468402776572,2019-06-05T00:00:00Z,2025-07-12T14:36:24Z,2025-07-10T14:36:24Z,Rust,True,True,True,True,False,False,False,False,1124,1865,main,Apache-2.0,[],public,https://formbricks.com,popular,very_high,developing,0.6620051596833022,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
erxes/erxes,erxes,erxes,https://github.com/erxes/erxes,68,3681,1166,6001,3772,Source available experience management infrastructure. Pioneering the future of experiences with XOS (Experience Operating System). Hubspot + Qualtrics alternative,https://erxes.io,368,349,3,0.3167617495245857,1.6302635153490899,1.0247215430589514,1.0,2017-09-29T00:00:00Z,2025-09-09T14:36:24Z,2025-09-01T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,368,1800,main,Apache-2.0,['ai'],public,https://erxes.io,established,high,growing,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
novuhq/novu,novuhq,novu,https://github.com/novuhq/novu,69,37755,4110,8900,7309,"The open-source notification Inbox infrastructure. E-mail, SMS, Push and Slack Integrations.",https://novu.co,3775,1233,37,0.10885975367500993,0.23573036683882928,0.1935902529466296,0.20287973099387913,2015-07-17T00:00:00Z,2025-05-27T14:36:24Z,2025-06-20T14:36:24Z,Java,True,True,True,True,False,False,False,False,3775,2670,main,BSD-3-Clause,['ai'],public,https://novu.co,viral,very_high,mature,0.6555952853926632,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,1.0,0.0,0,0.9137931034482761,0.9137931034482758,0.9137931034482758
knadh/listmonk,knadh,listmonk,https://github.com/knadh/listmonk,70,17782,1740,2550,614,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",https://listmonk.app,1778,522,17,0.09785176020695086,0.14340344168260039,0.034529299291418285,0.07751512766477973,2016-05-12T00:00:00Z,2025-05-06T14:36:24Z,2025-03-20T14:36:24Z,Python,True,True,True,True,False,False,False,False,1778,765,main,MIT,['ai'],public,https://listmonk.app,popular,moderate,developing,0.44280733325835114,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
paperless-ngx/paperless-ngx,paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,71,31942,1952,5322,3243,"A community-supported supercharged document management system: scan, index and archive all your documents",http://docs.paperless-ngx.com/,3194,585,31,0.06111076325840586,0.1666144887608791,0.10152776908146015,0.12250170518862832,2018-05-07T00:00:00Z,2025-04-07T14:36:24Z,2025-08-10T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,3194,1596,main,MIT,[],public,http://docs.paperless-ngx.com/,viral,high,mature,0.418151649865381,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.41379310344827597,0.41379310344827563,0.4137931034482758
OpenBB-finance/OpenBB,OpenBB-finance,OpenBB,https://github.com/OpenBB-finance/OpenBB,72,52175,4954,6922,4734,"Financial data platform for analysts, quants and AI agents.",https://openbb.co,5217,1486,52,0.09494968854815525,0.1326689027311931,0.09073310972688069,0.10019019541352074,2017-06-14T00:00:00Z,2025-04-23T14:36:24Z,2025-04-06T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,5217,2076,main,Apache-2.0,['ai'],public,https://openbb.co,viral,very_high,mature,0.48171729755630094,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
rowyio/rowy,rowyio,rowy,https://github.com/rowyio/rowy,73,6729,539,1115,721,"Low-code backend platform. Manage database on spreadsheet-like UI and build cloud functions workflows in JS/TS, all in your browser.",http://rowy.io,672,161,6,0.08010105513449249,0.16570069846931193,0.10714816466042502,0.12484884184323142,2017-07-19T00:00:00Z,2025-03-19T14:36:24Z,2025-06-17T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,672,334,main,MIT,"['web', 'database']",public,http://rowy.io,established,moderate,growing,0.48001188883935203,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.9404761904761901,0.0,0.0,0,0.7783251231527093,0.7783251231527092,0.7783251231527093
Infisical/infisical,Infisical,infisical,https://github.com/Infisical/infisical,74,20053,1349,4209,3238,"Infisical is the open-source platform for secrets management, PKI, and SSH access.",https://infisical.com,2005,404,20,0.06727172991572333,0.20989378147908044,0.16147209893781478,0.173978286157587,2020-02-14T00:00:00Z,2025-06-09T14:36:24Z,2025-07-06T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,2005,1262,main,BSD-3-Clause,[],public,https://infisical.com,popular,high,developing,0.5312023138682491,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.41379310344827597,0.41379310344827563,0.4137931034482758
teableio/teable,teableio,teable,https://github.com/teableio/teable,75,19482,1021,1715,1394,✨ The Next Gen Airtable Alternative: No-Code Postgres,https://teable.ai,1948,306,19,0.052407350374704856,0.08802997638846115,0.07155322862129145,0.06836439888537538,2019-11-05T00:00:00Z,2025-06-02T14:36:24Z,2025-04-17T14:36:24Z,Java,True,True,True,True,False,False,False,False,1948,514,main,MIT,"['ai', 'database']",public,https://teable.ai,popular,moderate,developing,0.29919926085617493,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
logto-io/logto,logto-io,logto,https://github.com/logto-io/logto,76,10748,615,7617,6960,"🧑‍🚀 Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.",https://logto.io,1074,184,10,0.05721994789728321,0.7086899888351321,0.64756233717901,0.6651312373669697,2020-11-01T00:00:00Z,2025-09-08T14:36:24Z,2025-08-30T14:36:24Z,JavaScript,True,True,True,True,False,False,False,False,1074,2285,main,MIT,['ai'],public,https://logto.io,popular,very_high,developing,0.3571455154447339,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
Unleash/unleash,Unleash,unleash,https://github.com/Unleash/unleash,77,12608,792,9804,9686,Open-source feature management platform,https://www.getunleash.io,1260,237,12,0.06281725888324872,0.7776015228426396,0.768242385786802,0.7596786501598157,2019-01-05T00:00:00Z,2025-09-03T14:36:24Z,2025-09-06T14:36:24Z,Go,True,True,True,True,False,False,False,False,1260,2941,main,MIT,[],public,https://www.getunleash.io,popular,very_high,developing,0.19812817258883245,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.41379310344827597,0.41379310344827563,0.4137931034482758
appsmithorg/appsmith,appsmithorg,appsmith,https://github.com/appsmithorg/appsmith,78,37945,4228,9852,17461,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.",https://www.appsmith.com,3794,1268,37,0.11142443009619185,0.2596389511134537,0.46016602977994464,0.3477413562869538,2015-09-22T00:00:00Z,2025-08-13T14:36:24Z,2025-08-04T14:36:24Z,Go,True,True,True,True,False,False,False,False,3794,2955,main,Apache-2.0,"['api', 'database']",public,https://www.appsmith.com,viral,very_high,mature,0.6132718408222427,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8809523809523808,1.0,0.0,0,0.8152709359605913,0.8152709359605912,0.8152709359605913
ToolJet/ToolJet,ToolJet,ToolJet,https://github.com/ToolJet/ToolJet,79,36445,4742,9841,8798,"ToolJet is the open-source foundation of ToolJet AI - the AI-native platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀",https://tooljet.ai,3644,1422,36,0.13011387021539306,0.270023322815201,0.24140485663328304,0.2438259440577012,2016-12-08T00:00:00Z,2025-06-22T14:36:24Z,2025-07-24T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,3644,2952,main,BSD-3-Clause,['ai'],public,https://tooljet.ai,viral,very_high,mature,0.6670819042392647,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
fonoster/fonoster,fonoster,fonoster,https://github.com/fonoster/fonoster,80,6997,417,700,550,🚀 The open-source alternative to Twilio.,https://fonoster.com,699,125,6,0.059596970130055736,0.10004287551807918,0.07860511647849078,0.07787181614612905,2017-06-26T00:00:00Z,2025-06-18T14:36:24Z,2025-05-28T14:36:24Z,Rust,True,True,True,True,False,False,False,False,699,210,main,Apache-2.0,[],public,https://fonoster.com,established,moderate,developing,0.33743032728312133,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
jitsucom/jitsu,jitsucom,jitsu,https://github.com/jitsucom/jitsu,81,4398,315,1213,623,"Jitsu is an open-source Segment alternative. Fully-scriptable data ingestion engine for modern data teams. Set-up a real-time data pipeline in minutes, not days",https://jitsu.com,439,94,4,0.07162346521145975,0.27580718508412916,0.14165529786266484,0.1969661975807727,2020-09-04T00:00:00Z,2025-08-03T14:36:24Z,2025-04-25T14:36:24Z,Go,True,True,True,True,False,False,False,False,439,363,main,MIT,[],public,https://jitsu.com,established,moderate,growing,0.5771714415643474,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
Avaiga/taipy,Avaiga,taipy,https://github.com/Avaiga/taipy,82,18618,1926,2526,1512,Turns Data and AI algorithms into production-ready web applications in no time.,https://www.taipy.io,1861,577,18,0.10344827586206896,0.13567515307766678,0.08121173058330648,0.0969411662990377,2021-08-16T00:00:00Z,2025-07-16T14:36:24Z,2025-04-18T14:36:24Z,Go,True,True,True,True,False,False,False,False,1861,757,main,Apache-2.0,"['ai', 'web']",public,https://www.taipy.io,popular,moderate,developing,0.479407025459233,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
go-skynet/LocalAI,go-skynet,LocalAI,https://github.com/go-skynet/LocalAI,83,35178,2759,5901,4796,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference",https://localai.io,3517,827,35,0.0784297003809199,0.16774688725908238,0.13633520950594122,0.140424540893979,2017-05-12T00:00:00Z,2025-04-25T14:36:24Z,2025-06-10T14:36:24Z,Python,True,True,True,True,False,False,False,False,3517,1770,main,BSD-3-Clause,['ai'],public,https://localai.io,viral,very_high,mature,0.5058218204559668,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
chroma-core/chroma,chroma-core,chroma,https://github.com/chroma-core/chroma,84,23247,1822,5404,3965,Open-source search and retrieval database for AI applications.,https://www.trychroma.com/,2324,546,23,0.07837570439196455,0.23246010237880158,0.17055964210435756,0.18976374936791512,2016-11-30T00:00:00Z,2025-03-19T14:36:24Z,2025-08-12T14:36:24Z,Rust,True,True,True,True,False,False,False,False,2324,1621,main,MIT,"['ai', 'database']",public,https://www.trychroma.com/,popular,high,developing,0.5916548371832924,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
